distrito,year,month,mes_nome,temperatura_media,temperatura_max,temperatura_min,precipitacao_total_mm
Alcobaça,2015,1,Janeiro,8.6,15.17,2.03,88.0
Alcobaça,2015,2,Fevereiro,9.74,14.49,4.99,56.7
Alcobaça,2015,3,Março,12.32,18.14,6.49,14.4
Alcobaça,2015,4,Abril,14.72,21.38,8.06,36.5
Alcobaça,2015,5,Maio,17.25,24.25,10.24,33.3
Alcobaça,2015,6,Junho,19.75,26.05,13.45,11.6
Alcobaça,2015,7,Julho,20.81,25.68,15.94,2.1
Alcobaça,2015,8,Agosto,20.93,26.76,15.11,2.0
Alcobaça,2015,9,Setembro,18.23,23.99,12.47,25.0
Alcobaça,2015,10,Outubro,17.58,23.04,12.12,88.8
Alcobaça,2015,11,Novembro,13.4,20.27,6.53,54.2
Alcobaça,2015,12,Dezembro,13.15,18.39,7.92,68.5
Alcobaça,2016,1,Janeiro,11.82,16.09,7.55,182.7
Alcobaça,2016,2,Fevereiro,10.97,15.37,6.56,190.5
Alcobaça,2016,3,Março,10.82,15.97,5.66,70.7
Alcobaça,2016,4,Abril,13.55,18.2,8.89,106.0
Alcobaça,2016,5,Maio,15.82,20.89,10.74,152.7
Alcobaça,2016,6,Junho,19.01,24.51,13.51,12.0
Alcobaça,2016,7,Julho,21.45,28.38,14.52,0.3
Alcobaça,2016,8,Agosto,21.31,28.51,14.1,2.7
Alcobaça,2016,9,Setembro,19.86,26.74,12.98,12.9
Alcobaça,2016,10,Outubro,18.14,23.75,12.53,34.8
Alcobaça,2016,11,Novembro,12.3,18.2,6.4,158.6
Alcobaça,2016,12,Dezembro,11.27,17.53,5.01,68.5
Alcobaça,2017,1,Janeiro,8.12,15.06,1.18,49.1
Alcobaça,2017,2,Fevereiro,11.85,16.93,6.76,93.7
Alcobaça,2017,3,Março,13.04,18.37,7.71,131.4
Alcobaça,2017,4,Abril,16.2,23.29,9.11,9.5
Alcobaça,2017,5,Maio,18.09,24.51,11.66,52.8
Alcobaça,2017,6,Junho,20.5,26.27,14.73,2.1
Alcobaça,2017,7,Julho,21.0,26.1,15.91,0.3
Alcobaça,2017,8,Agosto,21.14,27.35,14.93,1.3
Alcobaça,2017,9,Setembro,18.44,25.2,11.68,1.6
Alcobaça,2017,10,Outubro,18.69,27.47,9.91,38.9
Alcobaça,2017,11,Novembro,12.43,19.56,5.29,43.6
Alcobaça,2017,12,Dezembro,9.7,16.08,3.31,94.3
Alcobaça,2018,1,Janeiro,9.54,15.19,3.89,99.5
Alcobaça,2018,2,Fevereiro,8.68,15.42,1.94,41.2
Alcobaça,2018,3,Março,11.59,15.45,7.73,289.7
Alcobaça,2018,4,Abril,13.72,19.13,8.31,174.9
Alcobaça,2018,5,Maio,15.86,21.43,10.3,33.0
Alcobaça,2018,6,Junho,19.02,23.56,14.49,14.2
Alcobaça,2018,7,Julho,20.55,24.81,16.29,17.5
Alcobaça,2018,8,Agosto,22.39,29.54,15.23,3.5
Alcobaça,2018,9,Setembro,21.88,29.18,14.57,0.3
Alcobaça,2018,10,Outubro,16.86,24.05,9.67,80.1
Alcobaça,2018,11,Novembro,12.63,17.41,7.86,215.7
Alcobaça,2018,12,Dezembro,11.36,17.48,5.24,62.4
Alcobaça,2019,1,Janeiro,8.59,15.54,1.63,50.5
Alcobaça,2019,2,Fevereiro,10.99,18.06,3.92,56.6
Alcobaça,2019,3,Março,12.88,20.22,5.55,45.5
Alcobaça,2019,4,Abril,13.47,18.57,8.36,137.4
Alcobaça,2019,5,Maio,17.24,24.19,10.29,28.2
Alcobaça,2019,6,Junho,17.17,23.32,11.01,16.7
Alcobaça,2019,7,Julho,20.85,25.73,15.96,10.6
Alcobaça,2019,8,Agosto,21.27,26.8,15.75,7.5
Alcobaça,2019,9,Setembro,19.77,27.39,12.15,19.0
Alcobaça,2019,10,Outubro,16.67,22.87,10.47,64.4
Alcobaça,2019,11,Novembro,13.34,17.24,9.45,222.5
Alcobaça,2019,12,Dezembro,11.6,17.19,6.0,155.8
Alcobaça,2020,1,Janeiro,10.19,15.7,4.68,57.4
Alcobaça,2020,2,Fevereiro,12.67,19.0,6.34,27.4
Alcobaça,2020,3,Março,12.72,18.07,7.36,54.2
Alcobaça,2020,4,Abril,14.12,18.76,9.49,135.2
Alcobaça,2020,5,Maio,18.04,24.12,11.95,79.8
Alcobaça,2020,6,Junho,18.28,23.48,13.08,5.3
Alcobaça,2020,7,Julho,22.02,28.62,15.42,2.4
Alcobaça,2020,8,Agosto,21.37,26.43,16.32,25.9
Alcobaça,2020,9,Setembro,20.39,27.67,13.11,36.1
Alcobaça,2020,10,Outubro,15.49,21.5,9.47,40.5
Alcobaça,2020,11,Novembro,14.25,19.9,8.61,109.6
Alcobaça,2020,12,Dezembro,11.11,15.84,6.38,161.1
Aveiro,2015,1,Janeiro,9.25,13.81,4.69,95.3
Aveiro,2015,2,Fevereiro,10.8,14.21,7.39,54.2
Aveiro,2015,3,Março,13.45,17.11,9.8,6.1
Aveiro,2015,4,Abril,16.54,20.8,12.28,61.3
Aveiro,2015,5,Maio,17.88,21.65,14.11,88.3
Aveiro,2015,6,Junho,19.9,23.94,15.87,49.6
Aveiro,2015,7,Julho,20.82,24.37,17.27,1.7
Aveiro,2015,8,Agosto,20.8,24.95,16.65,5.1
Aveiro,2015,9,Setembro,18.62,22.55,14.69,72.1
Aveiro,2015,10,Outubro,18.71,22.3,15.11,152.8
Aveiro,2015,11,Novembro,15.05,19.11,11.0,80.0
Aveiro,2015,12,Dezembro,14.6,18.55,10.64,75.0
Aveiro,2016,1,Janeiro,12.87,16.17,9.57,286.5
Aveiro,2016,2,Fevereiro,12.06,15.28,8.85,222.6
Aveiro,2016,3,Março,12.3,15.89,8.7,65.8
Aveiro,2016,4,Abril,14.32,17.85,10.79,187.3
Aveiro,2016,5,Maio,16.62,19.95,13.29,192.3
Aveiro,2016,6,Junho,19.1,22.34,15.87,23.4
Aveiro,2016,7,Julho,21.0,25.65,16.35,0.3
Aveiro,2016,8,Agosto,21.21,25.96,16.46,6.8
Aveiro,2016,9,Setembro,19.43,23.78,15.08,36.5
Aveiro,2016,10,Outubro,18.67,22.65,14.7,118.4
Aveiro,2016,11,Novembro,13.81,17.82,9.8,171.3
Aveiro,2016,12,Dezembro,12.6,17.31,7.89,67.5
Aveiro,2017,1,Janeiro,9.93,14.71,5.15,103.2
Aveiro,2017,2,Fevereiro,12.96,17.36,8.55,123.8
Aveiro,2017,3,Março,13.93,18.34,9.53,129.5
Aveiro,2017,4,Abril,17.24,22.14,12.33,29.1
Aveiro,2017,5,Maio,18.84,23.15,14.54,112.3
Aveiro,2017,6,Junho,20.23,23.84,16.62,1.2
Aveiro,2017,7,Julho,20.47,24.08,16.87,0.6
Aveiro,2017,8,Agosto,20.77,25.04,16.5,4.7
Aveiro,2017,9,Setembro,18.13,22.34,13.92,5.5
Aveiro,2017,10,Outubro,19.19,25.05,13.33,39.6
Aveiro,2017,11,Novembro,13.99,18.66,9.32,66.1
Aveiro,2017,12,Dezembro,11.32,15.95,6.68,123.4
Aveiro,2018,1,Janeiro,10.91,14.89,6.93,151.3
